"module";"genotype";"Y";"X";"W_02.07.21";"W_09.07.21";"W_16.07.21";"W_23.07.21";"W_30.07.21";"W_06.08.21";"W_13.08.21";"W_20.08.21";"W_27.08.21";"W_03.09.21";"W_10.09.21";"W_17.09.21";"W_24.09.21";"W_02.07.21_TT";"W_09.07.21_TT";"W_16.07.21_TT";"W_23.07.21_TT";"W_30.07.21_TT";"W_06.08.21_TT";"W_13.08.21_TT";"W_20.08.21_TT";"W_27.08.21_TT";"W_03.09.21_TT";"W_10.09.21_TT";"W_17.09.21_TT";"W_24.09.21_TT"
"date 1";"MBS847";3;3;0;0;0;0;0.0666666666666667;0.2;0.6;0.666666666666667;0.666666666666667;0.733333333333333;1;1;1;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"NYS302";3;3;0;0;0.222222222222222;0.666666666666667;0.777777777777778;0.777777777777778;0.777777777777778;0.777777777777778;0.777777777777778;0.888888888888889;0.888888888888889;0.888888888888889;0.888888888888889;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"F918";4;3;0;0.05;0.25;0.75;0.85;0.85;0.9;0.9;0.9;0.9;0.9;0.9;0.9;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"NYS302";4;3;0;0;0;0;0.25;0.25;0.25;0.75;0.75;1;1;1;1;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"SA24U";4;3;0;0;0.173913043478261;0.173913043478261;0.173913043478261;0.260869565217391;0.260869565217391;0.260869565217391;0.260869565217391;0.304347826086957;0.478260869565217;0.652173913043478;0.695652173913043;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"FV252";5;3;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.142857142857143;0.428571428571429;0.571428571428571;0.571428571428571;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"G18-M40";5;3;0;0;0;0.0833333333333333;0.25;0.25;0.25;0.25;0.25;0.333333333333333;0.5;0.5;0.583333333333333;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"HP301";5;3;0;0;0.19047619047619;0.428571428571429;0.428571428571429;0.476190476190476;0.571428571428571;0.666666666666667;0.761904761904762;0.80952380952381;0.857142857142857;0.904761904761905;0.904761904761905;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"F618";6;3;0;0;0.0625;0.25;0.3125;0.3125;0.3125;0.4375;0.5;0.5;0.5625;0.5625;0.5625;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"HP301";6;3;0;0;0;0;0.25;0.5;0.5;0.5;0.75;0.75;0.75;0.75;0.75;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"SA24U";6;3;0;0;0.0869565217391304;0.347826086956522;0.739130434782609;0.782608695652174;0.782608695652174;0.782608695652174;0.782608695652174;0.826086956521739;0.91304347826087;0.91304347826087;0.91304347826087;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"F66";7;3;0;0;0;0.05;0.1;0.15;0.25;0.45;0.45;0.45;0.55;0.55;0.6;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"G18-F318";7;3;0;0;0;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.333333333333333;0.5;0.5;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-F36";7;3;0;0;0;0;0;0;0.285714285714286;0.285714285714286;0.428571428571429;0.428571428571429;0.428571428571429;0.428571428571429;0.428571428571429;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"G18-F36";8;3;0;0;0;0;0;0.0526315789473684;0.105263157894737;0.157894736842105;0.210526315789474;0.315789473684211;0.421052631578947;0.473684210526316;0.473684210526316;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"Mo17";8;3;0;0;0;0;0.0666666666666667;0.133333333333333;0.2;0.4;0.466666666666667;0.466666666666667;0.933333333333333;0.933333333333333;0.933333333333333;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"Mo17";8;3;0;0;0;0;0.1875;0.25;0.25;0.4375;0.4375;0.5625;0.5625;0.5625;0.5625;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"B73";9;3;0;0;0;0.0454545454545455;0.227272727272727;0.318181818181818;0.363636363636364;0.454545454545455;0.5;0.5;0.636363636363636;0.681818181818182;0.681818181818182;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"HP301";9;3;0;0;0.0625;0.3125;0.3125;0.4375;0.4375;0.5;0.5;0.5;0.625;0.625;0.625;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"LO32";9;3;0;0;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.117647058823529;0.470588235294118;0.470588235294118;0.470588235294118;0.470588235294118;0.470588235294118;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"Cm484";10;3;0;0;0;0.173913043478261;0.173913043478261;0.304347826086957;0.347826086956522;0.434782608695652;0.434782608695652;0.434782608695652;0.478260869565217;0.478260869565217;0.521739130434783;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"F918";10;3;0;0;0.0769230769230769;0.384615384615385;0.461538461538462;0.692307692307692;0.692307692307692;0.692307692307692;0.692307692307692;0.692307692307692;0.692307692307692;0.769230769230769;0.846153846153846;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"NYS302";10;3;0;0;0;0.75;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"B73";11;3;0;0;0.111111111111111;0.111111111111111;0.111111111111111;0.444444444444444;0.444444444444444;0.444444444444444;0.444444444444444;0.444444444444444;0.555555555555556;0.555555555555556;0.555555555555556;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F64";11;3;0;0;0.0526315789473684;0.368421052631579;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;0.578947368421053;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"FV2";11;3;0;0;0;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.0588235294117647;0.117647058823529;0.117647058823529;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"F66";2;4;0;0;0.0769230769230769;0.0769230769230769;0.153846153846154;0.153846153846154;0.384615384615385;0.384615384615385;0.384615384615385;0.538461538461538;0.692307692307692;0.692307692307692;0.692307692307692;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-F318";2;4;0;0;0;0;0;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;0.111111111111111;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"G18-M52";2;4;0;0.0625;0.0625;0.0625;0.1875;0.1875;0.25;0.5;0.5;0.5;0.5;0.5;0.5;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
